tradeCreatedAt,orderId,symbol,side,price,size,funds,fee,liquidity,feeCurrency,orderType,tax,
2024-11-16 00:04:37,6737710957d33600075f4135,PNUT-USDT,sell,2.0971,3.07,6.438097,0.006438097,maker,USDT,limit,0,
2024-11-16 00:04:29,67377109f53c5a0007ce902d,PNUT-USDT,sell,2.0954,1.69,3.541226,0.003541226,maker,USDT,limit,0,
2024-11-16 00:04:25,6737710908e10c0007189aca,PNUT-USDT,buy,2.0822,1.69,3.518918,0.003518918,taker,USDT,limit,0,
2024-11-16 00:04:24,673770f32ab010000797dc69,PNUT-USDT,buy,2.0888,1.66,3.467408,0.003467408,maker,USDT,limit,0,
2024-11-16 00:04:22,67377106adc2120007ba4967,PNUT-USDT,sell,2.0984,0.41,0.860344,0.000860344,taker,USDT,market,0,
2024-11-16 00:04:22,67377106adc2120007ba4967,PNUT-USDT,sell,2.0985,1.23,2.581155,0.002581155,taker,USDT,market,0,
2024-11-16 00:04:02,673770f2f53c5a0007cdd86e,PNUT-USDT,sell,2.1315,1.66,3.53829,0.00353829,maker,USDT,limit,0,
2024-11-16 00:04:01,673770d657d33600075dbea6,PNUT-USDT,buy,2.1509,1.62,3.484458,0.003484458,maker,USDT,limit,0,
2024-11-16 00:03:39,673770c31d47600007587867,PNUT-USDT,buy,2.1643,1.64,3.549452,0.003549452,maker,USDT,limit,0,
2024-11-16 00:03:33,673770d057d33600075d8a53,PNUT-USDT,sell,2.1948,1.62,3.555576,0.003555576,maker,USDT,limit,0,
2024-11-16 00:03:27,673770cf858fce0007c79045,PNUT-USDT,buy,2.1947,0.16,0.351152,0.000351152,taker,USDT,market,0,
2024-11-16 00:03:27,673770cf858fce0007c79045,PNUT-USDT,buy,2.1938,2.87,6.296206,0.006296206,taker,USDT,market,0,
2024-11-16 00:03:14,673770acd181be000752a697,PNUT-USDT,sell,2.1682,1.67,3.620894,0.003620894,maker,USDT,limit,0,
2024-11-16 00:02:55,673770ad429d8b00071e4dd6,PNUT-USDT,sell,2.124,3.03,6.43572,0.00643572,maker,USDT,limit,0,
2024-11-16 00:02:51,673770ab1d47600007579292,PNUT-USDT,buy,2.1257,1.67,3.549919,0.003549919,taker,USDT,limit,0,
2024-11-16 00:02:50,673770aaadc2120007b74702,PNUT-USDT,sell,2.1129,1.68,3.549672,0.003549672,maker,USDT,limit,0,
2024-11-16 00:02:45,673770a5ae43c40007751b1e,PNUT-USDT,buy,2.1295,1.72,3.66274,0.00366274,taker,USDT,market,0,
2024-11-16 00:02:44,673770a44bcca6000701224a,PNUT-USDT,buy,2.1299,1.66,3.535634,0.003535634,taker,USDT,market,0,
2024-11-16 00:02:20,67377089cf1a870007a657d6,PNUT-USDT,sell,2.1075,1.72,3.6249,0.0036249,maker,USDT,limit,0,
2024-11-16 00:02:16,67377088cf1a870007a650fe,PNUT-USDT,buy,2.0683,1.56,3.226548,0.003226548,maker,USDT,limit,0,
2024-11-16 00:02:16,67377088cf1a870007a650fe,PNUT-USDT,buy,2.0683,1.55,3.205865,0.003205865,maker,USDT,limit,0,
2024-11-16 00:02:16,673770884bcca6000700355b,PNUT-USDT,sell,2.0638,3.12,6.439056,0.006439056,taker,USDT,limit,0,
2024-11-16 00:02:15,67377087d181be0007515de5,PNUT-USDT,buy,2.0662,1.72,3.553864,0.003553864,maker,USDT,limit,0,
2024-11-16 00:02:13,6737708554d62a0007b3f3c5,PNUT-USDT,sell,2.0592,1.72,3.541824,0.003541824,maker,USDT,limit,0,
2024-11-16 00:02:12,67377074c95c310007e8c2cc,PNUT-USDT,buy,2.0545,1.69,3.472105,0.003472105,maker,USDT,limit,0,
2024-11-16 00:02:11,673770833cda65000735b14b,PNUT-USDT,sell,2.069,1.66,3.43454,0.00343454,taker,USDT,market,0,
2024-11-16 00:01:55,67377073355a3600074dab16,PNUT-USDT,sell,2.0965,1.69,3.543085,0.003543085,maker,USDT,limit,0,
2024-11-16 00:01:54,67377068ae43c400077310f9,PNUT-USDT,buy,2.0996,1.66,3.485336,0.003485336,maker,USDT,limit,0,
2024-11-16 00:01:43,673770663cda65000734c532,PNUT-USDT,sell,2.1425,1.66,3.55655,0.00355655,maker,USDT,limit,0,
2024-11-16 00:01:41,673770652ab0100007932309,PNUT-USDT,buy,2.1319,1.66,3.538954,0.003538954,maker,USDT,limit,0,
2024-11-16 00:01:41,6737706508e10c000713302f,PNUT-USDT,buy,2.1394,3.12,6.674928,0.006674928,taker,USDT,market,0,
2024-11-16 00:01:40,6737705654d62a0007b28bde,PNUT-USDT,sell,2.1193,1.71,3.624003,0.003624003,maker,USDT,limit,0,
2024-11-16 00:01:25,673770554bcca60007feac11,PNUT-USDT,buy,2.0778,1.71,3.553038,0.003553038,maker,USDT,limit,0,
2024-11-16 00:01:24,6737704757d3360007591127,PNUT-USDT,sell,2.0774,3.16,6.564584,0.006564584,maker,USDT,limit,0,
2024-11-16 00:01:24,67377054d181be00074fd653,PNUT-USDT,sell,2.0766,1.71,3.550986,0.003550986,maker,USDT,limit,0,
2024-11-16 00:01:19,6737704f429d8b00071b4ad1,PNUT-USDT,buy,2.0625,1.78,3.67125,0.00367125,taker,USDT,market,0,
2024-11-16 00:01:19,6737704fadc2120007b45aa1,PNUT-USDT,sell,2.0605,3.12,6.42876,0.00642876,maker,USDT,limit,0,
2024-11-16 00:01:18,6737704eae43c40007725f0f,PNUT-USDT,buy,2.0503,1.71,3.506013,0.003506013,taker,USDT,market,0,
2024-11-16 00:01:10,67377046ab0f0a0007798915,PNUT-USDT,buy,2.0367,3.16,6.435972,0.006435972,maker,USDT,limit,0,
2024-11-16 00:01:10,673770432ab0100007923a0c,PNUT-USDT,sell,2.0388,1.77,3.608676,0.003608676,maker,USDT,limit,0,
2024-11-16 00:01:07,67377042adc2120007b40455,PNUT-USDT,buy,1.9989,1.77,3.538053,0.003538053,maker,USDT,limit,0,
2024-11-16 00:01:06,67377041adc2120007b3fe9d,PNUT-USDT,sell,2.0094,3.2,6.43008,0.00643008,maker,USDT,limit,0,
2024-11-16 00:00:44,6737702c858fce0007c251b2,PNUT-USDT,buy,1.997,0.03,0.05991,0.00005991,taker,USDT,market,0,
2024-11-16 00:00:43,67377028ab0f0a000778ac2f,PNUT-USDT,sell,1.9919,1.78,3.545582,0.003545582,maker,USDT,limit,0,
2024-11-16 00:00:38,67377026cf1a870007a36bf1,PNUT-USDT,buy,1.9864,0.56,1.112384,0.001112384,taker,USDT,market,0,
2024-11-16 00:00:35,67377023392ff700079ace61,PNUT-USDT,buy,1.988,0.77,1.53076,0.00153076,taker,USDT,market,0,
2024-11-16 00:00:35,6737702357d3360007580735,PNUT-USDT,buy,1.988,0.61,1.21268,0.00121268,taker,USDT,market,0,
2024-11-16 00:00:35,6737702357d3360007580735,PNUT-USDT,buy,1.9864,1.24,2.463136,0.002463136,taker,USDT,market,0,
2024-11-16 00:00:35,67377023d181be00074e6d5f,PNUT-USDT,buy,1.9846,0.55,1.09153,0.00109153,taker,USDT,market,0,
2024-11-16 00:00:35,67377023d181be00074e6d5f,PNUT-USDT,buy,1.9845,1.23,2.440935,0.002440935,taker,USDT,market,0,
2024-11-16 00:00:08,6737700857d3360007573a66,PNUT-USDT,sell,1.9179,1.85,3.548115,0.003548115,maker,USDT,limit,0,
