tradeCreatedAt,orderId,symbol,side,price,size,funds,fee,liquidity,feeCurrency,orderType,tax,Unnamed: 12,fees_paid,trade_value,profit_loss,cumulative_profit_loss
2024-11-16 06:31:32,6737cbc41d476000079337c7,PNUT-USDT,buy,1.7947,1.04,1.866488,0.001866488,taker,USDT,market,0,,0.001866488,1.868354488,0.0,-0.01017700000000036
2024-11-16 06:30:04,6737cb5a1d47600007913989,PNUT-USDT,buy,1.7912,1.98,3.546576,0.003546576,maker,USDT,limit,0,,0.003546576,3.550122576,0.0,-0.01017700000000036
2024-11-16 06:29:41,6737c84a858fce0007f0425a,PNUT-USDT,sell,1.791,2.02,3.61782,0.00361782,maker,USDT,limit,0,,0.00361782,3.62143782,-0.0003959999999999564,-0.010573000000000317
2024-11-16 06:18:57,6737c8c92ab0100007c2288f,PNUT-USDT,sell,1.7437,2.04,3.557148,0.003557148,maker,USDT,limit,0,,0.003557148,3.5607051480000003,0.0,-0.010573000000000317
2024-11-16 06:18:48,6737b200d181be0007fcb0ac,PNUT-USDT,buy,1.7421,2.0,3.4842,0.0034842,maker,USDT,limit,0,,0.0034842,3.4876842,0.0032000000000000917,-0.007373000000000225
2024-11-16 06:16:41,6737bf6df53c5a0007c2bceb,PNUT-USDT,buy,1.7559,0.34,0.597006,0.000597006,maker,USDT,limit,0,,0.000597006,0.597603006,0.0,-0.007373000000000225
2024-11-16 05:44:05,6737bf6df53c5a0007c2bceb,PNUT-USDT,buy,1.7559,1.68,2.949912,0.002949912,maker,USDT,limit,0,,0.002949912,2.952861912,0.0,-0.007373000000000225
2024-11-16 05:38:50,6737bf6a1d476000074ebb73,PNUT-USDT,sell,1.7526,1.96,3.435096,0.003435096,taker,USDT,market,0,,0.003435096,3.438531096,-0.005544000000000136,-0.01291700000000036
2024-11-16 04:55:18,6737b52d429d8b0007daf2d7,PNUT-USDT,buy,1.8064,1.96,3.540544,0.003540544,maker,USDT,limit,0,,0.003540544,3.544084544,-0.10544800000000014,-0.1183650000000005
2024-11-16 04:55:08,6737b1f1c95c310007945f64,PNUT-USDT,sell,1.8075,2.0,3.615,0.003615,maker,USDT,limit,0,,0.003615,3.618615,0.0021560000000001977,-0.1162090000000003
2024-11-16 04:41:35,6737b1fbae43c400071f2509,PNUT-USDT,sell,1.7777,2.0,3.5554,0.0035554,maker,USDT,limit,0,,0.0035554,3.5589554000000003,0.0,-0.1162090000000003
2024-11-16 04:41:30,6737b1fa08e10c0007bf69a6,PNUT-USDT,buy,1.7787,1.97,3.504039,0.003504039,taker,USDT,market,0,,0.003504039,3.507543039,-0.001969999999999783,-0.11817900000000008
2024-11-16 04:41:20,6737b1f01d4760000701421a,PNUT-USDT,buy,1.7721,2.0,3.5442,0.0035442,maker,USDT,limit,0,,0.0035442,3.5477442,0.0,-0.11817900000000008
2024-11-16 04:41:17,6737b1ed54d62a00075ec95e,PNUT-USDT,sell,1.7821,1.93,3.439453,0.003439453,taker,USDT,market,0,,0.003439453,3.442892453,0.020000000000000018,-0.09817900000000006
2024-11-16 04:21:17,6737ad33355a360007da4ef3,PNUT-USDT,buy,1.8383,1.93,3.547919,0.003547919,maker,USDT,limit,0,,0.003547919,3.5514669189999997,-0.10846600000000005,-0.2066450000000001
2024-11-16 04:21:06,6737ad303cda650007c1c68a,PNUT-USDT,sell,1.8375,3.5,6.43125,0.00643125,maker,USDT,limit,0,,0.00643125,6.437681250000001,-0.0015440000000002585,-0.20818900000000037
2024-11-16 04:21:03,6737ad1e08e10c00079fa8dc,PNUT-USDT,buy,1.8365,3.5,6.42775,0.00642775,maker,USDT,limit,0,,0.00642775,6.43417775,0.0034999999999996145,-0.20468900000000076
